
【10-28 17:30:42]  X:0.0 Y:0.0 Z:0.0
【10-28 17:30:43]  X:-0.3285694 Y:0.014326572 Z:0.20517111
【10-28 17:30:43]  X:-0.4705367 Y:-0.4412489 Z:0.16681695
【10-28 17:30:43]  X:0.21880054 Y:-1.3733425 Z:-0.05562496
【10-28 17:30:43]  X:1.8500023 Y:-0.09219813 Z:0.85223186
【10-28 17:30:43]  X:2.4089928 Y:1.4664695 Z:0.14947307
【10-28 17:30:44]  X:2.670189 Y:3.6741858 Z:1.1877023
【10-28 17:30:44]  X:2.8340864 Y:3.0732367 Z:1.3427205
【10-28 17:30:44]  X:3.3398542 Y:-3.7861576 Z:1.8806422
【10-28 17:30:44]  X:-0.7952852 Y:-8.450174 Z:-0.27724528
【10-28 17:30:44]  X:-2.0411825 Y:-6.482461 Z:-0.20554808
【10-28 17:30:45]  X:1.8893518 Y:-0.54367995 Z:-0.3514259
【10-28 17:30:45]  X:3.8353877 Y:4.2884626 Z:0.8068822
【10-28 17:30:45]  X:4.612561 Y:5.735759 Z:0.45036274
【10-28 17:30:45]  X:3.65913 Y:-2.39907 Z:-0.08649055
【10-28 17:30:45]  X:-0.41663265 Y:-7.911723 Z:0.33026242
【10-28 17:30:46]  X:-2.9505558 Y:-5.812944 Z:-0.50699663
【10-28 17:30:46]  X:1.0750084 Y:-1.8494916 Z:0.20420054
【10-28 17:30:46]  X:3.419302 Y:3.121723 Z:0.78262216
【10-28 17:30:46]  X:4.0514436 Y:5.910755 Z:1.6660478
【10-28 17:30:46]  X:4.339034 Y:0.18741846 Z:0.6211941
【10-28 17:30:47]  X:0.8058958 Y:-6.8666964 Z:0.33545238
【10-28 17:30:47]  X:-3.5585108 Y:-6.3706503 Z:0.058056235
【10-28 17:30:47]  X:0.8018532 Y:-3.401421 Z:-0.24528265
【10-28 17:30:47]  X:3.5625877 Y:2.750544 Z:0.4594136
【10-28 17:30:47]  X:4.0104504 Y:6.067583 Z:1.2978263
【10-28 17:30:48]  X:4.181443 Y:1.3822608 Z:1.3211589
【10-28 17:30:48]  X:2.3957987 Y:-5.9281683 Z:0.33334303
【10-28 17:30:48]  X:-3.2315688 Y:-6.9294424 Z:-0.4945842
【10-28 17:30:48]  X:-0.5567322 Y:-4.043507 Z:0.12983522
【10-28 17:30:48]  X:2.9158678 Y:1.4673035 Z:0.6692222
【10-28 17:30:49]  X:3.6005507 Y:5.55049 Z:0.9309906
【10-28 17:30:49]  X:4.528078 Y:3.00015 Z:0.87241113
【10-28 17:30:49]  X:2.2470684 Y:-4.3058043 Z:0.4068159
【10-28 17:30:49]  X:-2.1431708 Y:-6.7925053 Z:0.6700109
【10-28 17:30:49]  X:-1.4947147 Y:-4.8345885 Z:0.14902899
【10-28 17:30:50]  X:2.7424545 Y:0.57698154 Z:1.1250713
【10-28 17:30:50]  X:4.3079104 Y:5.704995 Z:-0.04853116
【10-28 17:30:50]  X:3.922124 Y:3.8150327 Z:1.0742658
【10-28 17:30:50]  X:3.6763163 Y:-4.062604 Z:1.0785432
【10-28 17:30:50]  X:-2.1288586 Y:-7.693699 Z:0.18970221
【10-28 17:30:51]  X:-2.62992 Y:-4.739502 Z:-0.055331647
【10-28 17:30:51]  X:3.2642984 Y:0.016401768 Z:1.253515
【10-28 17:30:51]  X:3.756218 Y:5.355032 Z:0.44952434
【10-28 17:30:51]  X:4.0555115 Y:4.2677937 Z:1.0080638
【10-28 17:30:51]  X:3.4855566 Y:-3.5540588 Z:0.52859604
【10-28 17:30:52]  X:-1.6705256 Y:-6.9527407 Z:0.5504766
【10-28 17:30:52]  X:-2.83778 Y:-4.659877 Z:0.3405352
【10-28 17:30:52]  X:2.3309965 Y:-0.4432199 Z:0.34712082
【10-28 17:30:52]  X:4.379941 Y:4.5340204 Z:0.4783538
【10-28 17:30:52]  X:4.1411343 Y:4.99955 Z:2.0692647
【10-28 17:30:53]  X:4.0489445 Y:-2.6501727 Z:0.4450791
【10-28 17:30:53]  X:-0.92223835 Y:-7.5065184 Z:-0.17089939
【10-28 17:30:53]  X:-3.8308601 Y:-5.558355 Z:-0.22151405
【10-28 17:30:53]  X:1.8947439 Y:-1.0789685 Z:0.66142
【10-28 17:30:53]  X:4.2278266 Y:3.89247 Z:0.37351167
【10-28 17:30:54]  X:3.7133703 Y:5.475024 Z:0.57618076
【10-28 17:30:54]  X:3.712717 Y:-0.73359156 Z:0.68206155
【10-28 17:30:54]  X:0.2494564 Y:-6.151809 Z:0.19849133
【10-28 17:30:54]  X:-3.861176 Y:-4.950386 Z:0.006407261
【10-28 17:30:54]  X:0.72322845 Y:-2.8776236 Z:0.30993533
【10-28 17:30:55]  X:3.916408 Y:3.0061495 Z:-0.4775093
【10-28 17:30:55]  X:4.198748 Y:5.7020817 Z:0.53943455
【10-28 17:30:55]  X:4.3304253 Y:0.5324142 Z:0.95168793
【10-28 17:30:55]  X:0.5200739 Y:-5.662768 Z:0.34621656
【10-28 17:30:55]  X:-3.6627889 Y:-5.449092 Z:-0.49283433
【10-28 17:30:56]  X:-0.24628353 Y:-3.1934602 Z:0.0069215894
【10-28 17:30:56]  X:3.1853986 Y:1.9785469 Z:-0.13731515
【10-28 17:30:56]  X:4.44253 Y:5.419427 Z:0.50088954
【10-28 17:30:56]  X:4.3051205 Y:1.4580023 Z:0.9557871
【10-28 17:30:56]  X:0.80771255 Y:-4.946376 Z:0.54639757
【10-28 17:30:57]  X:-3.6243982 Y:-5.707801 Z:-0.66409576
【10-28 17:30:57]  X:-0.62385654 Y:-3.4566238 Z:0.014701664
【10-28 17:30:57]  X:3.4657307 Y:2.0394838 Z:0.8539311
【10-28 17:30:57]  X:4.1220837 Y:5.494196 Z:0.7109678
【10-28 17:30:57]  X:4.3637705 Y:1.5697424 Z:0.4697311
【10-28 17:30:58]  X:1.4361773 Y:-5.147806 Z:0.5869751
【10-28 17:30:58]  X:-3.3566265 Y:-6.269452 Z:-0.32809973
【10-28 17:30:58]  X:-0.66674995 Y:-4.3037834 Z:0.38692978
【10-28 17:30:58]  X:3.8644643 Y:2.2381685 Z:0.3512553
【10-28 17:30:58]  X:3.4226775 Y:5.696204 Z:-0.5423868
【10-28 17:30:59]  X:4.346299 Y:2.2692995 Z:0.84375376
【10-28 17:30:59]  X:2.5354967 Y:-4.9328465 Z:1.1941133
【10-28 17:30:59]  X:-3.143454 Y:-6.906554 Z:0.05279106
【10-28 17:30:59]  X:-1.2012205 Y:-4.129089 Z:-0.030570239
【10-28 17:30:59]  X:3.702567 Y:1.8525939 Z:0.9063175
【10-28 17:31:00]  X:3.4601178 Y:5.426324 Z:0.6909503
【10-28 17:31:00]  X:4.2841063 Y:2.6793852 Z:0.94472927
【10-28 17:31:00]  X:2.62226 Y:-4.585703 Z:0.5730375
【10-28 17:31:00]  X:-3.235167 Y:-6.7836084 Z:-0.22100186
【10-28 17:31:00]  X:-1.4225397 Y:-3.8822246 Z:0.24493156
【10-28 17:31:01]  X:3.8873434 Y:1.4610755 Z:0.85847104
【10-28 17:31:01]  X:4.083786 Y:5.4588695 Z:0.7610426
【10-28 17:31:01]  X:4.029051 Y:2.7509487 Z:0.99083
【10-28 17:31:01]  X:2.8519354 Y:-4.8652897 Z:0.73858446
【10-28 17:31:01]  X:-3.1417274 Y:-6.5681977 Z:-0.16702768
【10-28 17:31:01]  X:-1.4455643 Y:-4.225281 Z:-0.07906161
【10-28 17:31:02]  X:2.786869 Y:0.9845457 Z:0.8681491
【10-28 17:31:02]  X:3.542974 Y:4.5270443 Z:0.98302954
【10-28 17:31:02]  X:4.638446 Y:3.5697744 Z:0.8681925
【10-28 17:31:02]  X:2.3383207 Y:-3.5199983 Z:0.94436795
【10-28 17:31:02]  X:-1.9426136 Y:-6.2684307 Z:0.37563282
【10-28 17:31:03]  X:-2.3540668 Y:-4.7433457 Z:0.3834751
【10-28 17:31:03]  X:2.458331 Y:0.08859968 Z:0.8867798
【10-28 17:31:03]  X:3.5428033 Y:4.328585 Z:0.7895237
【10-28 17:31:03]  X:4.8099275 Y:4.487982 Z:1.628106
【10-28 17:31:03]  X:3.176138 Y:-3.1089587 Z:1.7294416
【10-28 17:31:04]  X:-1.929913 Y:-7.168201 Z:0.21988297
【10-28 17:31:04]  X:-2.671938 Y:-4.6011224 Z:0.4962444
【10-28 17:31:04]  X:2.081273 Y:0.30409193 Z:0.8177263
【10-28 17:31:04]  X:2.5206733 Y:3.8460436 Z:-0.17571841
【10-28 17:31:04]  X:4.8884745 Y:4.4516377 Z:0.48535526
【10-28 17:31:05]  X:2.875328 Y:-2.1463807 Z:1.238259
【10-28 17:31:05]  X:-1.9047084 Y:-5.847099 Z:1.2097288
【10-28 17:31:05]  X:-2.3725705 Y:-4.676769 Z:0.63769233
【10-28 17:31:05]  X:0.9569521 Y:-0.2229631 Z:0.95027137
【10-28 17:31:05]  X:3.0480566 Y:3.7248259 Z:0.059013717
【10-28 17:31:06]  X:4.8289146 Y:3.9484906 Z:5.842168E-4
【10-28 17:31:06]  X:2.5592651 Y:-1.6731043 Z:1.1489503
【10-28 17:31:06]  X:-1.6996984 Y:-6.027655 Z:0.39463043
【10-28 17:31:06]  X:-2.6009316 Y:-4.710256 Z:-0.072650135
【10-28 17:31:06]  X:1.7390985 Y:-0.22667265 Z:1.3497117
【10-28 17:31:07]  X:3.515573 Y:4.2839212 Z:0.7622272
【10-28 17:31:07]  X:4.288525 Y:3.9807348 Z:0.6916736
【10-28 17:31:07]  X:2.3982925 Y:-1.842823 Z:0.7701539
【10-28 17:31:07]  X:-1.0944157 Y:-5.8424954 Z:-0.086624324
【10-28 17:31:07]  X:-2.9045534 Y:-4.7405005 Z:0.2580849
【10-28 17:31:08]  X:1.2502031 Y:-0.52732825 Z:1.093995
【10-28 17:31:08]  X:3.564474 Y:3.6656954 Z:0.30539003
【10-28 17:31:08]  X:4.2726192 Y:4.5227365 Z:0.41771978
【10-28 17:31:08]  X:2.9670935 Y:-1.565376 Z:1.4781495
【10-28 17:31:08]  X:-1.0500059 Y:-5.688927 Z:0.60786086
【10-28 17:31:09]  X:-3.3468428 Y:-4.8983846 Z:0.5504656
【10-28 17:31:09]  X:1.7643499 Y:-0.4210868 Z:0.613612
【10-28 17:31:09]  X:2.8122044 Y:3.1237836 Z:0.050610375
【10-28 17:31:09]  X:3.7993035 Y:4.363118 Z:-0.08392864
【10-28 17:31:09]  X:3.3651285 Y:-0.49552798 Z:0.9432648
【10-28 17:31:10]  X:-0.65043926 Y:-5.733943 Z:0.22258621
【10-28 17:31:10]  X:-3.6879787 Y:-5.0624356 Z:-0.11165249
【10-28 17:31:10]  X:0.9566641 Y:-2.061203 Z:1.0733223
【10-28 17:31:10]  X:3.7500782 Y:3.1794398 Z:0.5633408
【10-28 17:31:10]  X:4.474046 Y:5.2582574 Z:0.50926274
【10-28 17:31:11]  X:3.4849138 Y:-0.24268389 Z:0.8007858
【10-28 17:31:11]  X:0.57713985 Y:-6.0461397 Z:0.39978188
【10-28 17:31:11]  X:-4.511377 Y:-5.576886 Z:-1.2861365
【10-28 17:31:11]  X:0.73406696 Y:-2.884898 Z:0.78325665
【10-28 17:31:11]  X:4.283603 Y:2.7379167 Z:0.9821182
【10-28 17:31:12]  X:3.5737295 Y:5.429534 Z:1.3216286
【10-28 17:31:12]  X:4.1815434 Y:0.5764065 Z:0.8551089
【10-28 17:31:12]  X:0.8375225 Y:-5.3071656 Z:0.68510306
【10-28 17:31:12]  X:-3.7656336 Y:-5.718908 Z:-0.6291359
【10-28 17:31:12]  X:-0.15111923 Y:-3.8935037 Z:0.80166477
【10-28 17:31:13]  X:3.9320216 Y:1.9080424 Z:1.0269192
【10-28 17:31:13]  X:4.0134673 Y:5.368534 Z:1.9091666
【10-28 17:31:13]  X:4.2904577 Y:2.0125222 Z:1.4313947
【10-28 17:31:13]  X:1.6543093 Y:-4.811673 Z:1.3762609
【10-28 17:31:13]  X:-3.013329 Y:-6.3849206 Z:0.3851967
【10-28 17:31:14]  X:-1.5311208 Y:-4.2943063 Z:0.16618153
【10-28 17:31:14]  X:3.044508 Y:1.2265811 Z:1.0546181
【10-28 17:31:14]  X:4.85235 Y:5.458958 Z:0.39716676
【10-28 17:31:14]  X:4.712905 Y:2.436696 Z:0.8458295
【10-28 17:31:14]  X:1.6303568 Y:-4.1986775 Z:1.3973193
【10-28 17:31:15]  X:-2.8830042 Y:-6.5921965 Z:-0.069927245
【10-28 17:31:15]  X:-1.2542353 Y:-4.337701 Z:0.13793907
【10-28 17:31:15]  X:2.5934238 Y:1.3721967 Z:0.8532562
【10-28 17:31:15]  X:4.6487703 Y:5.079894 Z:0.52129245
【10-28 17:31:15]  X:5.07013 Y:2.7335768 Z:0.9250526
【10-28 17:31:16]  X:1.5672283 Y:-5.2948 Z:1.3493824
【10-28 17:31:16]  X:-3.3689628 Y:-6.248606 Z:0.5127654
【10-28 17:31:16]  X:-1.2434692 Y:-3.9987164 Z:0.49624068
【10-28 17:31:16]  X:2.9615955 Y:1.4472263 Z:0.58227813
【10-28 17:31:16]  X:4.532277 Y:5.3912163 Z:-0.56037074
【10-28 17:31:17]  X:4.4969635 Y:1.8333533 Z:0.90351856
【10-28 17:31:17]  X:1.4408798 Y:-4.5894175 Z:0.82036155
【10-28 17:31:17]  X:-3.5381923 Y:-5.628662 Z:-0.39892185
【10-28 17:31:17]  X:-0.70978546 Y:-3.6562488 Z:-0.01124008
【10-28 17:31:17]  X:2.70113 Y:1.6856241 Z:1.0615364
【10-28 17:31:18]  X:3.7538066 Y:5.0270157 Z:0.18108855
【10-28 17:31:18]  X:3.0804615 Y:2.3612661 Z:0.69938207
【10-28 17:31:18]  X:2.7811956 Y:-3.0574832 Z:0.72589934
【10-28 17:31:18]  X:-2.9182591 Y:-5.8933544 Z:0.081471086
【10-28 17:31:18]  X:-1.8151426 Y:-4.0207663 Z:0.16486049
【10-28 17:31:19]  X:3.033245 Y:0.9036279 Z:1.2608073
【10-28 17:31:19]  X:3.5049858 Y:4.8590446 Z:0.6579938
【10-28 17:31:19]  X:3.6877818 Y:2.6542668 Z:0.65702426
【10-28 17:31:19]  X:2.381751 Y:-3.1498241 Z:1.0240788
【10-28 17:31:19]  X:-2.483924 Y:-5.466989 Z:0.2683897
【10-28 17:31:20]  X:-2.240109 Y:-4.307699 Z:0.49263307
【10-28 17:31:20]  X:2.377943 Y:0.61060953 Z:0.8619936
【10-28 17:31:20]  X:3.0894375 Y:4.421524 Z:0.061072327
【10-28 17:31:20]  X:4.034667 Y:3.3966873 Z:0.3580175
【10-28 17:31:20]  X:2.7489004 Y:-2.5755718 Z:0.95365804
【10-28 17:31:21]  X:-2.2623734 Y:-5.6968813 Z:0.8938609
【10-28 17:31:21]  X:-2.7967596 Y:-4.337981 Z:0.7135806
【10-28 17:31:21]  X:2.6746483 Y:0.121481895 Z:1.2227107
【10-28 17:31:21]  X:4.633846 Y:4.6673584 Z:-0.13836843
【10-28 17:31:21]  X:4.165863 Y:3.0297134 Z:0.3825071
【10-28 17:31:22]  X:2.052186 Y:-3.3279257 Z:1.0424815
【10-28 17:31:22]  X:-1.8888516 Y:-6.16984 Z:0.8134184
【10-28 17:31:22]  X:-3.3915925 Y:-3.9143739 Z:0.34034336
【10-28 17:31:22]  X:2.6610394 Y:-0.3436694 Z:0.7586212
【10-28 17:31:22]  X:3.1189342 Y:3.7066398 Z:0.25105125
【10-28 17:31:23]  X:3.0246577 Y:3.660979 Z:0.25778687
【10-28 17:31:23]  X:1.4153891 Y:-1.5864725 Z:-0.25384825
【10-28 17:31:23]  X:-1.8798542 Y:-2.0111232 Z:1.4783828
【10-28 17:31:23]  X:-0.6103034 Y:-0.22860527 Z:1.8067052
【10-28 17:31:23]  X:2.186441 Y:-1.4510412 Z:3.1015296
【10-28 17:31:24]  X:2.1759958 Y:4.091851 Z:4.779883
【10-28 17:31:24]  X:3.906968 Y:-5.6069856 Z:3.8831725
【10-28 17:31:24]  X:-2.5692973 Y:-9.184509 Z:-1.2646846
【10-28 17:31:24]  X:-1.8818221 Y:-6.083202 Z:-1.3059951
【10-28 17:31:24]  X:3.0526452 Y:-0.14322042 Z:-0.14997545
【10-28 17:31:25]  X:6.3195014 Y:5.3173885 Z:-1.2230917
【10-28 17:31:25]  X:6.379274 Y:1.9852972 Z:1.6971256
【10-28 17:31:25]  X:1.7563095 Y:-5.777664 Z:-0.1269713
【10-28 17:31:25]  X:-3.429327 Y:-7.1754675 Z:-2.3009124
【10-28 17:31:25]  X:-1.8187466 Y:-4.0318174 Z:-1.5439003
【10-28 17:31:26]  X:5.877991 Y:0.49723387 Z:-0.26543134
【10-28 17:31:26]  X:4.8881288 Y:5.025735 Z:-0.9778558
【10-28 17:31:26]  X:4.6990604 Y:2.914807 Z:0.5054589
【10-28 17:31:26]  X:2.717103 Y:-4.336356 Z:-0.15465796
【10-28 17:31:26]  X:-1.9049087 Y:-7.156707 Z:-1.8207297
【10-28 17:31:27]  X:-3.8271632 Y:-4.036368 Z:-1.8278934
【10-28 17:31:27]  X:3.0214558 Y:-0.76576567 Z:0.4634149
【10-28 17:31:27]  X:2.4930444 Y:2.8945646 Z:-0.16788864
【10-28 17:31:27]  X:2.1322894 Y:3.3990457 Z:-0.2730431
【10-28 17:31:27]  X:3.3226757 Y:0.24318552 Z:0.58732414
【10-28 17:31:28]  X:-1.0426407 Y:-4.706538 Z:-0.33049846
【10-28 17:31:28]  X:-4.1401663 Y:-4.4060125 Z:-1.7358482
【10-28 17:31:28]  X:2.54556 Y:1.0128055 Z:0.06159015
【10-28 17:31:28]  X:4.2676063 Y:3.9901867 Z:0.4745373
【10-28 17:31:28]  X:0.68377733 Y:-0.01819706 Z:0.51761305
【10-28 17:31:29]  X:0.3700323 Y:1.5523767 Z:0.87555015
【10-28 17:31:29]  X:1.083292 Y:-1.9819682 Z:0.29549474
【10-28 17:31:29]  X:-2.3321342 Y:-4.642679 Z:-0.7751187
【10-28 17:31:29]  X:-0.8566599 Y:-1.4946456 Z:-0.033593718
【10-28 17:31:29]  X:3.6497068 Y:3.2982593 Z:0.31060654
【10-28 17:31:30]  X:6.2616634 Y:4.6127405 Z:0.7237389
【10-28 17:31:30]  X:3.1605368 Y:-1.4099023 Z:1.2361224
【10-28 17:31:30]  X:-1.6221514 Y:-7.5692015 Z:0.12230539
【10-28 17:31:30]  X:-2.3426762 Y:-5.7654943 Z:-0.7673706
【10-28 17:31:30]  X:0.7947302 Y:-0.85313845 Z:0.23104167
【10-28 17:31:31]  X:4.6247854 Y:3.81284 Z:0.58861464
【10-28 17:31:31]  X:6.1072583 Y:5.0337067 Z:1.177993
【10-28 17:31:31]  X:3.5466394 Y:-2.8142374 Z:1.4403448
【10-28 17:31:31]  X:-1.2057543 Y:-8.025829 Z:0.09804928
【10-28 17:31:31]  X:-3.3117876 Y:-5.700376 Z:-0.14766091
【10-28 17:31:32]  X:1.8767262 Y:-0.73827267 Z:0.6636039
【10-28 17:31:32]  X:5.266192 Y:3.7238712 Z:0.26058644
【10-28 17:31:32]  X:5.5640697 Y:5.119647 Z:0.3260919
