
【10-28 17:30:42]  X:0.08335688 Y:0.14700638 Z:-0.226768
【10-28 17:30:43]  X:0.018109482 Y:0.051798444 Z:-0.37017912
【10-28 17:30:43]  X:0.05286371 Y:-0.31571752 Z:-0.2929475
【10-28 17:30:43]  X:-0.87005407 Y:-0.32410645 Z:0.59521604
【10-28 17:30:43]  X:-0.31811434 Y:-0.7122619 Z:1.5994934
【10-28 17:30:43]  X:-0.73330086 Y:0.2920154 Z:1.6466312
【10-28 17:30:44]  X:-0.7446193 Y:0.27137592 Z:0.9539436
【10-28 17:30:44]  X:1.0735195 Y:-0.3834949 Z:-0.4388886
【10-28 17:30:44]  X:1.2041473 Y:-0.7183872 Z:-2.6232116
【10-28 17:30:44]  X:0.12117374 Y:0.15619428 Z:-2.0668778
【10-28 17:30:44]  X:0.1288969 Y:-0.3952128 Z:0.4379565
【10-28 17:30:45]  X:0.2435459 Y:-0.24248064 Z:2.6017733
【10-28 17:30:45]  X:-1.0330395 Y:0.49707866 Z:2.074601
【10-28 17:30:45]  X:0.53609395 Y:-0.010253162 Z:0.1038632
【10-28 17:30:45]  X:0.42224386 Y:-0.38695702 Z:-2.2136178
【10-28 17:30:45]  X:-0.015313165 Y:0.3711112 Z:-2.430399
【10-28 17:30:46]  X:0.17283903 Y:-0.18042903 Z:-0.025832644
【10-28 17:30:46]  X:-0.42157808 Y:-0.19267955 Z:2.0390477
【10-28 17:30:46]  X:-1.0776473 Y:0.13675322 Z:2.249171
【10-28 17:30:46]  X:-0.2539322 Y:0.10932268 Z:0.5956155
【10-28 17:30:46]  X:1.1660643 Y:-0.011984216 Z:-1.7491629
【10-28 17:30:47]  X:1.0016141 Y:-0.06604634 Z:-2.5200143
【10-28 17:30:47]  X:-0.092677936 Y:-0.15020217 Z:-0.62597555
【10-28 17:30:47]  X:-0.65593606 Y:-0.08988162 Z:1.7706013
【10-28 17:30:47]  X:-0.32916647 Y:0.059654765 Z:2.4576964
【10-28 17:30:47]  X:-0.76272875 Y:0.50187236 Z:0.9524788
【10-28 17:30:48]  X:0.719053 Y:-0.015978955 Z:-1.4737922
【10-28 17:30:48]  X:1.2009516 Y:-2.663159E-4 Z:-2.7013755
【10-28 17:30:48]  X:0.49987495 Y:-0.08881636 Z:-1.1286469
【10-28 17:30:48]  X:-0.31398645 Y:-0.3508712 Z:1.4574138
【10-28 17:30:48]  X:-0.5837645 Y:0.092012145 Z:2.3337264
【10-28 17:30:49]  X:-0.62211394 Y:0.3308975 Z:1.381647
【10-28 17:30:49]  X:0.55633396 Y:0.07576688 Z:-0.87977463
【10-28 17:30:49]  X:1.1072084 Y:0.0021305273 Z:-2.5321317
【10-28 17:30:49]  X:0.41265652 Y:-0.5273055 Z:-1.5466297
【10-28 17:30:49]  X:-0.13102743 Y:-0.2917491 Z:0.91665936
【10-28 17:30:50]  X:-0.5997434 Y:0.13062796 Z:2.7421217
【10-28 17:30:50]  X:-0.39374807 Y:0.44594598 Z:1.6527566
【10-28 17:30:50]  X:0.09667268 Y:0.15619428 Z:-0.855673
